17-067836-FC01,3/6/2018,Forsyth,"5315 Young Deer Drive Cumming, Georgia",30041,"Mortgage Electronic Registration Systems, Inc. as nominee for Sunshine Mortgage Corporation, its successors and assigns",11/24/2004,333700,,Auction.com,,,,,
16-060206-FC03,3/6/2018,Forsyth,"8490 Deliah Way Gainesville, Georgia",30506,"Mortgage Electronic Registration Systems, Inc., as nominee for CBC National Bank",8/7/2013,150000,,,,,,,
16-059565-FC02,3/6/2018,Forsyth,"5610 Rolling Oaks Drive Cumming, Georgia",30040,FT Mortgage Companies d.b.a. HomeBanc Mortgage Corporation,9/16/1998,121250,,ServiceLink Auction,,,,,
15-052247-FC02,3/6/2018,Fulton,"410 Stonecastle Pass SW Atlanta, Georgia",30331,"Mortgage Electronic Registration Systems, Inc. as nominee for Realty Mortgage Corporation and its successors and assigns",12/15/2008,202329,,ServiceLink Auction,,,,,
15-054438-FC04,3/6/2018,Fulton,"3020 Sable Trail College Park, Georgia",30349,"Wells Fargo Bank, N.A.",5/11/2009,160560,,Auction.com,,,,,
15-055390-FC02,3/6/2018,Fulton,"5020 Southlake Drive Alpharetta, Georgia",30005,"Mortgage Electronic Registration Systems, Inc. as nominee for SouthStar Funding, LLC",2/16/2005,272000,,,,,,,
15-053840-FC04,3/6/2018,Fulton,"5557 Sable Way Atlanta, Georgia",30349,"Mortgage Electronic Registration Systems, Inc. as nominee for Countrywide KB Home Loans, a Countrywide Mortgage Ventures, LLC series, its successors and assigns",12/21/2007,127393,,Auction.com,,,,,
14-049053-FC05,3/6/2018,Fulton,"745 Ambrose Lane College Park, Georgia",30349,"CTX Mortgage Company, LLC",6/28/2004,198779,,,,,,,
13-044086-FC02,3/6/2018,Fulton,"100 Big Elk Court SW Atlanta, Georgia",30349,"Mortgage Electronic Registration Systems, Inc. as nominee for Opteum Financial Services, LLC, it's successor and assigns",3/13/2006,181989,,Williams & Williams,,,,,
14-047936-FC01,3/6/2018,Fulton,"620 Leitrim Way College Park, Georgia",30349,"Mortgage Electronic Registration Systems, Inc. as nominee for Silverton Mortgage Specialists, Inc.",7/27/2012,139945,,,,,,,
16-057766-FC04,3/6/2018,Fulton,"330 Alamosa Path SW Atlanta, Georgia",30349,"Mortgage Electronic Registration Systems, Inc. as nominee for Carrington Mortgage Services, LLC, its successors and assigns",11/12/2013,265010,,Auction.com,,,,,
15-056129-FC03,3/6/2018,Fulton,"673 Providence Place SW Unit 4 Atlanta, Georgia",30331,"Mortgage Electronic Registration Systems, Inc. as nominee for USA Home Loans, Inc.",6/4/2008,156118,,Auction.com,,,,,
16-062071-FC03,3/6/2018,Fulton,"7272 Madison Circle Union City, Georgia",30291,"Mortgage Electronic Registration Systems, Inc., as nominee for FMF Capital LLC, its successors and assigns",1/31/2006,208000,,,,,,,
17-063962-FC02,3/6/2018,Fulton,"199 NE 14th Street Apt. 1604 Atlanta, Georgia",30309,"Union Planters Bank, d/b/a Regions Mortgage",11/29/2004,91000,,,,,,,
17-067404-FC02,3/6/2018,Fulton,"4681 Irish Red Court Union City, Georgia",30291,"Mortgage Electronic Registration Systems, Inc., as nominee for Direct Mortgage, Corp., its successors and assigns",6/20/2014,194573,,ServiceLink Auction,,,,,
17-067293-FC02,3/6/2018,Fulton,"4345 Kimball Road Atlanta, Georgia",30331,"Wells Fargo Bank, N.A.",10/31/2012,79068.49,,Auction.com,,,,,
17-066763-FC02,3/6/2018,Fulton,"2600 Muskeg Court SW Atlanta, Georgia",30331,"Bank of America, N.A.",9/28/2007,248472,,Auction.com,,,,,
17-067773-FC01,3/6/2018,Fulton,"6890 Oswego Trail Riverdale, Georgia",30296,"Homeside Lending, Inc.",12/29/1999,88000,,,,,,,
17-065869-FC04,3/6/2018,Fulton,"420 Buffington Drive Union City, Georgia",30291,"Mortgage Electronic Registration Systems, Inc. as nominee for American Brokers Conduit, its successors and assigns",4/17/2007,104800,,Auction.com,,,,,
17-065182-FC03,3/6/2018,Fulton,"4316 Shamrock Drive Atlanta, Georgia",30349,"Mortgage Electronic Registration Systems, Inc. as nominee for Colonial Bank, N.A.",5/30/2008,223384,,Auction.com,,,,,
17-064528-FC03,3/6/2018,Fulton,"2700 Tanglewood Trail Atlanta, Georgia",30344,"Mortgage Electronic Registration Systems, Inc. as nominee for Opteum Mortgage, a division of Metrocities Mortgage, LLC, its successors and assigns",3/21/2008,174174,,Auction.com,,,,,
17-064423-FC02,3/6/2018,Fulton,"7795 Rivertown Road Fairburn, Georgia",30213,"Wells Fargo Bank, N.A.",8/29/2013,115016,,Auction.com,,,,,
17-066660-FC02,3/6/2018,Fulton,"1274 Martin Street SE Atlanta, Georgia",30315,"SunTrust Mortgage, Inc.",7/30/2008,99470,,Auction.com,,,,,
